date,open,high,low,close,previous
03-03-2009,43.17,43.9,41.2,43.89,43.17
04-03-2009,43.89,43.89,42.16,42.52,43.89
05-03-2009,42.52,42.71,40.41,41.49,42.52
06-03-2009,41.49,41.49,37.57,38.16,41.49
09-03-2009,38.16,41.14,38.16,40.87,38.16
12-03-2009,40.87,40.87,38.5,39.27,40.87
13-03-2009,39.27,39.27,35.08,35.56,39.27
16-03-2009,35.56,37.88,35.56,36.7,35.56
17-03-2009,36.7,38.76,34.85,38.43,36.7
18-03-2009,38.43,38.86,36.99,38.15,38.43
19-03-2009,38.15,38.6,36.65,37.74,38.15
20-03-2009,37.74,37.99,34.98,37,37.74
23-03-2009,37,38.6,36.62,38.59,37
24-03-2009,38.59,39.86,36.34,38.02,38.59
25-03-2009,38.02,41.7,35.94,37.41,38.02
26-03-2009,37.41,40.2,36.52,37.23,37.41
27-03-2009,37.23,40.34,36.79,37.58,37.23
30-03-2009,37.58,41.31,37.58,40.09,37.58
31-03-2009,40.09,41.03,39.16,39.49,40.09
01-04-2009,39.49,39.49,36.42,36.44,39.49
02-04-2009,36.44,37.82,34.26,37.37,36.44
06-04-2009,37.37,42.4,36.44,41.02,37.37
08-04-2009,41.02,43.54,39.64,43.29,41.02
09-04-2009,43.29,44.35,40.34,43.21,43.29
13-04-2009,43.21,47.32,42.98,46.57,43.21
15-04-2009,46.57,48.91,44.31,47.59,46.57
16-04-2009,47.59,51.55,44.47,50.1,47.59
17-04-2009,50.1,51.58,44.98,50.65,50.1
20-04-2009,50.65,55.6,44.57,54.41,50.65
21-04-2009,54.41,54.99,50.38,53.27,54.41
22-04-2009,48.47,54.39,48.47,53.59,53.27
23-04-2009,46.98,52.69,46.98,49.23,53.59
24-04-2009,45.68,49.14,45.48,47.12,49.23
27-04-2009,47.12,50.47,47.12,49.11,47.12
28-04-2009,49.11,49.89,47.25,48.74,49.11
29-04-2009,48.74,48.74,45.74,45.87,48.74
04-05-2009,45.87,50.66,45.16,50.51,45.87
05-05-2009,50.51,51.68,48.35,51.14,50.51
06-05-2009,51.14,53.7,48.85,52.04,51.14
07-05-2009,52.04,53.84,51.04,51.08,52.04
08-05-2009,51.08,51.08,48.45,50.94,51.08
11-05-2009,50.94,55.23,50.76,54.76,50.94
12-05-2009,54.76,54.76,49.99,52.2,54.76
13-05-2009,52.2,53.01,48.34,52.97,52.2
14-05-2009,49.02,53.38,49.02,52.32,52.97
15-05-2009,52.32,52.32,44.7,52.01,52.32
18-05-2009,52.01,52.01,52.01,52.01,52.01
19-05-2009,52.01,57.1,48.01,56.07,52.01
20-05-2009,51.05,54.66,49.4,49.51,56.07
21-05-2009,46.24,47.98,42.22,43.31,49.51
22-05-2009,39.22,44.6,39.22,41.97,43.31
25-05-2009,35.12,42.59,35.12,39.38,41.97
