trade_date,open_price,high_price,low_price,close_price,prev_close,daily_return,intraday_range,rolling_30,year,month,month_name,zone,zone1
03-03-2009,43.17,43.9,41.2,43.89,43.17,1.6678,2.7,,2009,3,Mar,Panic,Panic
04-03-2009,43.89,43.89,42.16,42.52,43.89,-3.1214,1.73,,2009,3,Mar,Panic,Panic
05-03-2009,42.52,42.71,40.41,41.49,42.52,-2.4224,2.3,,2009,3,Mar,Panic,Panic
06-03-2009,41.49,41.49,37.57,38.16,41.49,-8.026,3.92,,2009,3,Mar,High Fear,High Fear
09-03-2009,38.16,41.14,38.16,40.87,38.16,7.1017,2.98,,2009,3,Mar,Panic,Panic
12-03-2009,40.87,40.87,38.5,39.27,40.87,-3.9149,2.37,,2009,3,Mar,High Fear,High Fear
13-03-2009,39.27,39.27,35.08,35.56,39.27,-9.4474,4.19,,2009,3,Mar,High Fear,High Fear
16-03-2009,35.56,37.88,35.56,36.7,35.56,3.2058,2.32,,2009,3,Mar,High Fear,High Fear
17-03-2009,36.7,38.76,34.85,38.43,36.7,4.7139,3.91,,2009,3,Mar,High Fear,High Fear
18-03-2009,38.43,38.86,36.99,38.15,38.43,-0.7286,1.87,,2009,3,Mar,High Fear,High Fear
19-03-2009,38.15,38.6,36.65,37.74,38.15,-1.0747,1.95,,2009,3,Mar,High Fear,High Fear
20-03-2009,37.74,37.99,34.98,37,37.74,-1.9608,3.01,,2009,3,Mar,High Fear,High Fear
23-03-2009,37,38.6,36.62,38.59,37,4.2973,1.98,,2009,3,Mar,High Fear,High Fear
24-03-2009,38.59,39.86,36.34,38.02,38.59,-1.4771,3.52,,2009,3,Mar,High Fear,High Fear
25-03-2009,38.02,41.7,35.94,37.41,38.02,-1.6044,5.76,,2009,3,Mar,High Fear,High Fear
26-03-2009,37.41,40.2,36.52,37.23,37.41,-0.4812,3.68,,2009,3,Mar,High Fear,High Fear
27-03-2009,37.23,40.34,36.79,37.58,37.23,0.9401,3.55,,2009,3,Mar,High Fear,High Fear
30-03-2009,37.58,41.31,37.58,40.09,37.58,6.6791,3.73,,2009,3,Mar,Panic,Panic
31-03-2009,40.09,41.03,39.16,39.49,40.09,-1.4966,1.87,,2009,3,Mar,High Fear,High Fear
01-04-2009,39.49,39.49,36.42,36.44,39.49,-7.7235,3.07,,2009,4,Apr,High Fear,High Fear
02-04-2009,36.44,37.82,34.26,37.37,36.44,2.5521,3.56,,2009,4,Apr,High Fear,High Fear
06-04-2009,37.37,42.4,36.44,41.02,37.37,9.7672,5.96,,2009,4,Apr,Panic,Panic
08-04-2009,41.02,43.54,39.64,43.29,41.02,5.5339,3.9,,2009,4,Apr,Panic,Panic
09-04-2009,43.29,44.35,40.34,43.21,43.29,-0.1848,4.01,,2009,4,Apr,Panic,Panic
13-04-2009,43.21,47.32,42.98,46.57,43.21,7.776,4.34,,2009,4,Apr,Panic,Panic
15-04-2009,46.57,48.91,44.31,47.59,46.57,2.1903,4.6,,2009,4,Apr,Panic,Panic
16-04-2009,47.59,51.55,44.47,50.1,47.59,5.2742,7.08,,2009,4,Apr,Panic,Panic
17-04-2009,50.1,51.58,44.98,50.65,50.1,1.0978,6.6,,2009,4,Apr,Panic,Panic
20-04-2009,50.65,55.6,44.57,54.41,50.65,7.4235,11.03,,2009,4,Apr,Panic,Panic
21-04-2009,54.41,54.99,50.38,53.27,54.41,-2.0952,4.61,41.40366667,2009,4,Apr,Panic,Panic
22-04-2009,48.47,54.39,48.47,53.59,53.27,0.6007,5.92,41.727,2009,4,Apr,Panic,Panic
23-04-2009,46.98,52.69,46.98,49.23,53.59,-8.1358,5.71,41.95066667,2009,4,Apr,Panic,Panic
24-04-2009,45.68,49.14,45.48,47.12,49.23,-4.286,3.66,42.13833333,2009,4,Apr,Panic,Panic
27-04-2009,47.12,50.47,47.12,49.11,47.12,4.2233,3.35,42.50333333,2009,4,Apr,Panic,Panic
